Subject ,Heart_Rate(BPM) ,TSCAN,DEEPPHSY,PSNET
video1,81.654,88.01388417785545,86.57767670998754,81.98338831771296
video2,81.602,78.12942444910333,79.70947636298811,71.22224811008005
video3,79.038,74.3093290423763,82.12910950239231,79.23210282790339
video4,71.878,71.97025560565766,77.99070902658363,61.57589798386339
video5,71.539,81.3251141205361,67.52050860224271,63.086049869143395
video6,77.274,83.10902223581323,86.31016114714177,86.15431867942928
video7,73.806,69.92420131715963,71.30306928047278,69.62062215415908
video8,72.126,78.86976268657531,78.38559142025223,80.76532649907674
video9,76.626,86.83553543147697,77.77578039456935,71.04891428365721
video10,84.981,79.63175061440009,86.02596900788689,88.62979671188273
video11,92.753,105.68817395639779,84.87895802037018,86.3462726106574
video12,84.974,82.99940340002239,79.5968708607452,80.2397267406607
video13,74.593,72.95571098583156,74.05288744590585,72.66206307184859
video14,71.303,66.76139210886133,68.25563302588924,67.77570828064442
video15,79.008,80.00361895397357,76.39412900810663,77.05770610259945
video16,82.74,80.00890792498498,92.1537719332407,94.39780054867501
video17,77.787,84.29155565367135,82.6267682810514,70.15699533890535
video18,74.161,64.16011555138036,75.70426464692684,80.99878636932127
video19,71.086,69.97942906370469,62.6138277768896,70.51530594876493
video20,75.379,69.5352929848298,77.02690754763532,76.19835754105623
video21,73.0,71.86305380924965,68.49764712633012,65.96086996083082
video22,83.991,80.29441811476566,80.09386775881893,90.3944387379718
video23,75.868,77.5680869813961,74.21186704750818,71.77255201711354
video24,75.282,77.78334458231649,84.82112885861575,80.95863586009455
video25,76.795,79.57560739877641,85.79627789085106,73.4859257448133
video26,70.119,79.99180044219594,69.6414927025628,61.0375654107349
video27,80.425,80.98479795331198,88.18284787776938,78.85662950749456
video28,83.46,94.00685411436494,80.00073924193809,71.14724849545043
video29,71.881,68.43136209509218,66.51240489740466,68.40631210673422
video30,86.491,86.1508577767316,96.59831391708224,94.68623951304211
video31,77.876,80.29309162372857,86.17207621917805,81.91860908142968
video32,81.568,70.88388814088933,74.41394011630068,89.08153502241815
video33,79.101,70.79549259319336,80.52792105584356,81.62416709814553
video34,80.031,76.39281921140649,85.32505900098909,83.11121599773064
video35,69.415,77.18029572724706,76.3110333765976,77.40714190719835
video36,78.858,70.20560769014851,79.42532492707329,71.18008696590078
video37,76.809,75.82274043485059,83.73738832403804,82.09692890057266
video38,82.654,82.05212307874044,89.0589978179804,79.70956705654322
video39,75.394,73.96396618288932,68.32517743413493,75.3218670458792
video40,73.839,63.861782529675565,76.52601068125597,78.09242768229664
video41,80.827,87.59588852349856,75.12598435808259,80.04905344292806
video42,72.511,79.29965137178162,69.15124665050854,70.21216919130777
video43,80.38,87.01116462227999,78.72002162295098,87.6729125948338
video44,72.436,77.43990949311579,75.58505118057596,75.61705044414082
